"Hora","dia","consumo_mwh","mes","mes_nombre","fecha","hora_inicio","dia_semana","dia_semana_num","es_fin_semana","es_semana_laboral","es_viernes","estacion","es_ciclo_escolar_activo","es_feriado","tipo_dia","periodo_dia","mes_factor","dia_semana_factor"
"0",1,74.23142012,1,"ENERO",2023-01-01,0,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,TRUE,"Feriado","Madrugada","ENERO","domingo"
"0",2,76.3222543897758,1,"ENERO",2023-01-02,0,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"0",3,76.279395741675,1,"ENERO",2023-01-03,0,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"0",4,76.3314297222793,1,"ENERO",2023-01-04,0,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","miércoles"
"0",5,74.94380122,1,"ENERO",2023-01-05,0,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","jueves"
"0",6,61.02153769,1,"ENERO",2023-01-06,0,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Madrugada","ENERO","viernes"
"0",7,73.80375135,1,"ENERO",2023-01-07,0,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","sábado"
"0",8,108.73914677,1,"ENERO",2023-01-08,0,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","domingo"
"0",9,76.2747074878331,1,"ENERO",2023-01-09,0,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"0",10,108.81415631,1,"ENERO",2023-01-10,0,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"0",11,76.3034364757507,1,"ENERO",2023-01-11,0,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","miércoles"
"0",12,33.33090815,1,"ENERO",2023-01-12,0,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","jueves"
"0",13,33.09404329,1,"ENERO",2023-01-13,0,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Madrugada","ENERO","viernes"
"0",14,33.32008062,1,"ENERO",2023-01-14,0,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","sábado"
"0",15,12.30593761,1,"ENERO",2023-01-15,0,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","domingo"
"0",16,75.74245662,1,"ENERO",2023-01-16,0,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"0",17,76.7325827098086,1,"ENERO",2023-01-17,0,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"0",18,77.0129897995876,1,"ENERO",2023-01-18,0,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","miércoles"
"0",19,76.7213423928704,1,"ENERO",2023-01-19,0,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","jueves"
"0",20,76.7186766023961,1,"ENERO",2023-01-20,0,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Madrugada","ENERO","viernes"
"0",21,76.9388554710803,1,"ENERO",2023-01-21,0,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","sábado"
"0",22,76.5684330336339,1,"ENERO",2023-01-22,0,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","domingo"
